country_clean,case_number,year,mining_case,economy_classification
Slovenia,ARB/22/21,2022,Yes,Developed
Costa Rica,ARB(AF)/22/5,2022,No,Developing
"Moldova, Republic Of",ARB(AF)/22/4,2022,Yes,Developed
"Venezuela, Bolivarian Republic Of",ARB(AF)/22/3,2022,No,Developing
Saudi Arabia,ARB/22/20,2022,No,Developing
Canada,UNCT/20/6,2020,No,Developed
Peru,ARB/22/19,2022,Yes,Developing
Papua New Guinea,ARB/22/18,2022,No,Developing
Morocco,ARB/22/17,2022,No,Developing
Pakistan,ARB/22/16,2022,No,Developing
Romania,ARB/22/15,2022,No,Developed
"Venezuela, Bolivarian Republic Of",ARB(AF)/22/2,2022,No,Developing
Serbia,ARB/22/14,2022,No,Developed
Dominican Republic,ARB(AF)/22/1,2022,No,Developing
Romania,ARB/22/13,2022,No,Developed
Spain,ARB/22/12,2022,No,Developed
Colombia,ARB/22/11,2022,Yes,Developing
Romania,ARB/22/10,2022,Yes,Developed
Slovenia,ARB/22/9,2022,No,Developed
Iraq,ARB/22/8,2022,No,Developing
Iraq,ARB/22/7,2022,No,Developing
Panama,UNCT/18/6,2018,No,Developing
Mexico,ARB/22/6,2022,No,Developing
Panama,ARB/22/5,2022,No,Developing
Bangladesh,ARB/22/4,2022,Yes,Developing
Ecuador,ARB/22/3,2022,Yes,Developing
Sweden,ARB/22/2,2022,No,Developed
Senegal,ARB/22/1,2022,No,Developing
Hungary,ARB/21/66,2021,No,Developed
Peru,ARB/21/65,2021,Yes,Developing
Guyana,ARB/21/64,2021,No,Developing
United States,ARB/21/63,2021,Yes,Developed
Mali,ARB/21/62,2021,Yes,Developing
Türkiye,ARB/21/61,2021,No,Developing
Peru,ARB/21/60,2021,No,Developing
Guatemala,ARB/21/59,2021,No,Developing
Congo,ARB/21/58,2021,Yes,Developing
Peru,ARB/21/57,2021,No,Developing
Guatemala,ARB/21/56,2021,No,Developing
Mexico,ARB/21/55,2021,No,Developing
Romania,ARB/21/54,2021,No,Developed
Congo,ARB/21/53,2021,Yes,Developing
Ukraine,ARB/21/52,2021,No,Developed
Slovakia,ARB/21/51,2021,Yes,Developed
Egypt,ARB/21/50,2021,No,Developing
Costa Rica,ARB/21/49,2021,No,Developing
Pakistan,ARB/21/48,2021,No,Developing
Sudan,ARB/21/47,2021,No,Developing
El Salvador,ARB/21/46,2021,No,Developing
Peru,ARB/21/45,2021,No,Developing
Morocco,ARB/21/44,2021,No,Developing
Spain,ARB/21/43,2021,No,Developed
Cambodia,ARB/21/42,2021,No,Developing
Peru,ARB/21/41,2021,No,Developing
Chile,ARB/21/40,2021,No,Developing
Spain,ARB/21/39,2021,No,Developed
Mali,ARB/21/38,2021,Yes,Developing
Grenada,ARB/21/37,2021,No,Developing
Malta,ARB/21/36,2021,No,Developed
Egypt,ARB/21/35,2021,No,Developing
Panama,ARB/21/34,2021,No,Developing
Türkiye,ARB/21/33,2021,Yes,Developing
Uzbekistan,ARB/21/32,2021,No,Developing
Colombia,ARB/21/31,2021,Yes,Developing
Colombia,ARB/21/30,2021,Yes,Developing
Peru,ARB/21/29,2021,No,Developing
Peru,ARB/21/28,2021,No,Developing
Chile,ARB/21/27,2021,No,Developing
Germany,ARB/21/26,2021,No,Developed
Mexico,ARB/21/25,2021,Yes,Developing
Congo,ARB/21/24,2021,Yes,Developing
Turkmenistan,ARB/21/23,2021,No,Developing
Netherlands,ARB/21/22,2021,No,Developed
Egypt,ARB/21/21,2021,No,Developing
Turkmenistan,ARB/21/20,2021,No,Developing
United Arab Emirates,ARB/21/19,2021,No,Developing
Burkina Faso,ARB/21/18,2021,Yes,Developing
Armenia,ARB/21/17,2021,No,Developing
Nicaragua,ARB/21/16,2021,No,Developing
Ukraine,ARB/21/15,2021,Yes,Developed
Mexico,ARB/21/14,2021,Yes,Developing
Serbia,ARB/21/13,2021,No,Developed
United States,ARB/21/12,2021,No,Developed
United States,ARB/21/11,2021,No,Developed
Peru,ARB/21/10,2021,No,Developing
Mauritania,ARB/21/9,2021,Yes,Developing
Mongolia,ARB/21/8,2021,Yes,Developing
Nigeria,ARB/21/7,2021,Yes,Developing
"Tanzania, United Republic Of",ARB/21/6,2021,Yes,Developing
Serbia,ARB/21/5,2021,No,Developed
Netherlands,ARB/21/4,2021,No,Developed
Ukraine,ARB/21/3,2021,No,Developed
Belarus,ARB/21/2,2021,No,Developed
Peru,ARB/21/1,2021,No,Developing
Albania,ARB/20/54,2020,No,Developed
Kuwait,ARB/20/53,2020,No,Developing
Canada,ARB/20/52,2020,No,Developed
Peru,ARB/20/51,2020,Yes,Developing
Kosovo,ARB/20/50,2020,No,Developed
Croatia,ARB/20/49,2020,No,Developed
Guatemala,ARB/20/48,2020,No,Developing
"Venezuela, Bolivarian Republic Of",ARB(AF)/20/3,2020,No,Developing
Spain,ARB/20/47,2020,No,Developed
Peru,ARB/20/46,2020,Yes,Developing
Egypt,ARB/20/45,2020,No,Developing
Georgia,ARB/20/44,2020,No,Developing
Croatia,ARB/20/43,2020,No,Developed
Iraq,ARB/20/42,2020,No,Developing
Nigeria,ARB/20/41,2020,Yes,Developing
Sudan,ARB/20/40,2020,No,Developing
Italy,ARB/20/39,2020,No,Developed
"Tanzania, United Republic Of",ARB/20/38,2020,Yes,Developing
Albania,ARB/20/37,2020,No,Developed
Türkiye,ARB/20/36,2020,Yes,Developing
