,caseid,caseno,claimant,isapproved,respondent,status,isapproved,dateregistered,isapproved,country_clean,country_iso3,extraction_method,registration_year,registration_month,registration_day,miningcase
64,66,ARB/25/19,Oleoducto de Crudos Pesados (OCP) Ltd.,Y,Republic of Ecuador,Concluded,Y,2025-05-02 00:00:00,Y,Ecuador,ECU,pycountry,2025,5,2,Yes
65,67,ARB(AF)/25/3,José Alejandro Hernández Contreras,Y,Republic of Costa Rica,Pending,Y,2025-05-01 00:00:00,Y,Costa Rica,CRI,pycountry,2025,5,1,No
66,68,ARB(AF)/25/2,GR Mining (Barbados) Inc.,Y,Bolivarian Republic of Venezuela,Pending,Y,2025-04-28 00:00:00,Y,"Venezuela, Bolivarian Republic of",VEN,pycountry,2025,4,28,Yes
67,69,ARB(AF)/25/1,Bright Mountain Pty. Ltd.,Y,Republic of the Union of Myanmar,Pending,Y,2025-04-21 00:00:00,Y,Myanmar,MMR,embedded_pycountry,2025,4,21,Yes
68,70,ARB/25/18,"First Quantum Minerals, Ltd.",Y,Republic of Panama,Pending,Y,2025-04-11 00:00:00,Y,Panama,PAN,pycountry,2025,4,11,Yes
69,71,ARB/25/17,"L’Air Liquide, société anonyme pour l’Etude et l’Exploitation des procédés Georges Claude, Air Liquide International S.A., and Azerus S.A.S.",Y,United Mexican States,Pending,Y,2025-04-07 00:00:00,Y,Mexico,MEX,pycountry,2025,4,7,Yes
70,72,ARB/25/16,"Amec Foster Wheeler USA Corporation, Process Consultants, Inc., and Joint Venture Foster Wheeler USA Corporation and Process Consultants, Inc.",Y,Republic of Colombia,Pending,Y,2025-04-07 00:00:00,Y,Colombia,COL,pycountry,2025,4,7,Yes
71,73,ARB/25/15,United Operations Limited,Y,Union of the Comoros,Concluded,Y,2025-03-31 00:00:00,Y,Comoros,COM,pycountry,2025,3,31,No
72,74,ARB/25/14,Brookfield Corporation,Y,Republic of Peru,Pending,Y,2025-03-27 00:00:00,Y,Peru,PER,pycountry,2025,3,27,No
73,75,ARB/25/13,"Victoria Oil & Gas Plc (in Administration), Victoria Energy Central Asia UK Limited and Victoria Energy Central Asia LLP",Y,Republic of Kazakhstan,Pending,Y,2025-03-21 00:00:00,Y,Kazakhstan,KAZ,pycountry,2025,3,21,Yes
75,77,ARB/25/11,Dirk Andres in his capacity as insolvency administrator regarding the assets of HBH,Y,People's Democratic Republic of Algeria,Pending,Y,2025-03-14 00:00:00,Y,Algeria,DZA,pycountry,2025,3,14,No
76,78,ARB/25/10,E.M.I.S. Finance B.V.,Y,Ukraine,Pending,Y,2025-03-10 00:00:00,Y,Ukraine,UKR,pycountry,2025,3,10,No
77,79,ARB/25/9,Orano Mining SAS,Y,Republic of Niger,Pending,Y,2025-03-05 00:00:00,Y,Niger,NER,embedded_pycountry,2025,3,5,Yes
78,80,ARB/25/8,Orano Mining SAS,Y,Republic of Niger,Pending,Y,2025-03-05 00:00:00,Y,Niger,NER,embedded_pycountry,2025,3,5,Yes
79,81,ARB/25/7,Draslovka Holding A.S.,Y,United Mexican States,Pending,Y,2025-02-18 00:00:00,Y,Mexico,MEX,pycountry,2025,2,18,No
80,82,CONC/25/1,Republic of Togo,Y,ContourGlobal Togo SA,Concluded,Y,2025-02-06 00:00:00,Y,Togo,TGO,embedded_pycountry,2025,2,6,No
81,83,ARB/25/6,"Fibranet, Sociedad Anónima",Y,Republic of El Salvador,Concluded,Y,2025-01-23 00:00:00,Y,El Salvador,SLV,pycountry,2025,1,23,No
82,84,ARB/25/5,"Centauro Capital, S.L.U. and Natanor XXI, S.L.U.",Y,Republic of Colombia,Pending,Y,2025-01-21 00:00:00,Y,Colombia,COL,pycountry,2025,1,21,No
83,85,ARB/25/4,Maritime Archaeology Consultants Switzerland AG,Y,Republic of Colombia,Pending,Y,2025-01-13 00:00:00,Y,Colombia,COL,pycountry,2025,1,13,No
84,86,ARB/25/3,Ngondo Mining SARL,Y,Democratic Republic of the Congo,Pending,Y,2025-01-13 00:00:00,Y,Congo,COG,embedded_pycountry,2025,1,13,Yes
85,87,ARB/25/2,Société des Mines de Loulo S.A. and Société des Mines de Gounkoto S.A.,Y,Republic of Mali,Concluded,Y,2025-01-10 00:00:00,Y,Mali,MLI,pycountry,2025,1,10,Yes
86,88,ARB/25/1,GoviEx Niger Holdings Ltd. and GoviEx Uranium Inc.,Y,Republic of Niger,Pending,Y,2025-01-02 00:00:00,Y,Niger,NER,embedded_pycountry,2025,1,2,Yes
87,89,ARB/24/52,Minerali Industriali SRL,Y,Republic of Tunisia,Pending,Y,2024-12-23 00:00:00,Y,Tunisia,TUN,pycountry,2024,12,23,Yes
88,90,ARB/24/53,"Unión de Cervecerías Peruanas Backus y Johnston S.A.A., Cervecería San Juan S.A. and AB InBev Southern Investment Ltd.",Y,Republic of Peru,Pending,Y,2024-12-23 00:00:00,Y,Peru,PER,pycountry,2024,12,23,No
89,91,ARB/24/51,Sarama Resources Ltd,Y,Burkina Faso,Pending,Y,2024-12-23 00:00:00,Y,Burkina Faso,BFA,pycountry,2024,12,23,Yes
90,92,ARB/24/50,Riversdale Resources Pty Ltd and Hancock Prospecting Pty Ltd,Y,Canada,Pending,Y,2024-12-23 00:00:00,Y,Canada,CAN,pycountry,2024,12,23,Yes
91,93,ARB/24/49,AXA S.A.,Y,United Mexican States,Concluded,Y,2024-12-05 00:00:00,Y,Mexico,MEX,pycountry,2024,12,5,No
92,94,ARB/24/48,Alain Francois V. Goetz and Aldabra Limited,Y,Republic of Rwanda,Pending,Y,2024-11-01 00:00:00,Y,Rwanda,RWA,embedded_pycountry,2024,11,1,Yes
93,95,ARB/24/47,Société Industrielle de Viande de Côte d’Ivoire,Y,Republic of Côte d’Ivoire,Pending,Y,2024-11-01 00:00:00,Y,Côte d'Ivoire,CIV,alias,2024,11,1,No
94,96,ARB/24/46,ENCORE Investment Group Limited,Y,Republic of Türkiye,Pending,Y,2024-10-25 00:00:00,Y,Türkiye,TUR,pycountry,2024,10,25,No
95,97,ARB/24/45,Nurhima Kiram Fornan and others,Y,Kingdom of Spain,Concluded,Y,2024-10-24 00:00:00,Y,Spain,ESP,pycountry,2024,10,24,No
96,98,ARB/24/44,ExxonMobil Petroleum & Chemical BV,Y,Kingdom of the Netherlands,Pending,Y,2024-10-21 00:00:00,Y,Netherlands,NLD,pycountry,2024,10,21,Yes
97,99,ARB/24/43,"Concesionaria Angostura Siguas, S.A.",Y,Republic of Peru,Pending,Y,2024-10-16 00:00:00,Y,Peru,PER,pycountry,2024,10,16,No
